,freq,term,label
143,171,element,o
144,501,elsevier_b.v._all_rights,o
145,178,elsevier_inc._all_rights,o
146,83,employ,o
147,19,entry,o
148,26,epsilon,o
149,4,erosion,o
150,4,error_estimates,data_structures
151,15,euclidean,o
152,16,euler,o
153,58,evaluation,o
154,20,examines,o
155,45,exhibit,o
156,4,existing_solutions,o
157,175,exploit,o
158,127,extend,o
159,87,extension,o
160,3,extensive_empirical_study,o
161,24,facility,o
162,4,fibonacci,o
163,5,file_structure,o
164,30,finite_element,o
165,19,fluid_dynamics,o
166,3,formal_background,o
167,12,fpgas,o
168,76,frequency,o
169,12,frequent_pattern,data_structures
170,6,function_calls,computer_programming
171,8,functional_data,data_structures
172,5,functional_programming,computer_programming
173,5,fundamental_data_structure,data_structures
174,4,fundamental_properties,data_structures
175,4,fundamental_tool,o
176,4,galerkin_method,o
177,3,game_design,software_engineering
178,5,gauss-seidel,algorithm_design
179,4,general-purpose_computing,distributed_computing
180,21,genome,o
181,7,geometric_data,o
182,3,geometric_data_structures,data_structures
183,5,geometric_domain,o
184,3,glmm,o
185,4,gpu-based_implementation,software_engineering
186,88,gpus,o
187,29,gradient,o
188,17,granularity,o
189,47,graph,o
190,14,graph_algorithm,algorithm_design
191,6,graph_g,o
192,8,graph_partitioning,computer_graphics
193,12,graphical_processing_unit,distributed_computing
194,33,graphics_processing_units,computer_graphics
195,10,graphs,data_structures
196,4,gremlin,o
197,6,grid_cells,o
198,171,handle,o
199,28,hash,cryptography
200,22,hashing,algorithm_design
201,3,heliostat,o
202,3,heliostats,o
203,20,heuristic,o
204,37,hierarchical,o
205,6,hierarchical_data_structure,data_structures
206,6,hierarchy,o
207,3,high-frequency_details,o
208,4,high-level_language,o
209,6,historical_data,data_structures
210,7,household,o
211,4,hw/sw,o
212,4,hydrology,o
213,8,hyperspectral_data,o
214,3,i-dlv,computer_programming
215,5,i/os,o
216,282,implement,o
217,96,implementing,o
218,13,improved_performance,o
219,26,inconsistency,o
220,3,increased_flexibility,o
221,3,increased_performance,o
222,5,increasing_size,o
223,4,indexing_data_structure,data_structures
224,5,indexing_scheme,data_structures
225,6,initial_state,o
226,13,initialization,o
227,32,input_data,computer_programming
228,20,insert,o
229,21,insertion,o
230,75,inside,o
231,6,inspection,o
232,25,integer,o
233,3,integer_k,o
234,8,integral,o
235,12,intel_xeon,o
236,17,interval,o
237,35,invariant,o
238,27,item,o
239,4,javascript_object_notation,computer_programming
240,28,join,o
241,3,jorgensen,o
242,9,julia,o
243,9,kappa,data_structures
244,4,kd-tree,data_structures
245,4,kd-trees,data_structures
246,21,key-value,o
247,12,key_idea,o
248,5,knn_queries,data_structures
249,3,learning_levels,o
250,7,lg_lg_n,o
251,7,lg_sigma,o
252,4,linear_mixed_effect_models,machine_learning
253,3,linear_projection,o
254,6,linear_relationship,o
255,7,linear_space,o
256,6,link_prediction,o
257,5,linked_data_structure,data_structures
258,9,linked_list,data_structures
259,10,local_structure,o
260,4,log_file,o
261,17,log_log,o
262,6,logn,o
263,4,low-rank_representation,o
264,58,magnitude,o
265,35,main_contribution,o
266,4,major_difficulty,o
267,3,massively_parallel_architecture,distributed_computing
268,69,match,o
269,135,matching,o
270,3,mathematical_properties,o
271,5,median_value,o
272,16,memory_access,operating_systems
273,7,memory_allocation,operating_systems
274,8,memory_bandwidth,data_structures
275,4,memory_cost,o
276,20,memory_usage,o
277,3,mesh_topology,data_structures
278,5,message-passing,operating_systems
279,4,metric_space,data_structures
280,4,microbenchmarks,operating_systems
281,28,minimizes,o
282,122,mining,o
283,4,mining_operations,data_structures
284,27,missing,o
285,10,missing_data,data_structures
286,9,mixed_models,machine_learning
287,6,models,o
288,7,monte_carlo_algorithm,algorithm_design
289,4,morton,o
290,5,multi-core_cpus,distributed_computing
291,12,multidimensional_data,data_structures
292,5,multilevel_modeling,data_structures
293,3,multiphase_flow,o
294,3,multiple_experiments,o
295,3,multiple_imputation,data_structures
296,3,multiple_machines,o
297,3,multiresolution,computer_graphics
298,7,multiscale_modeling,o
299,8,narrow_band,o
300,7,navier-stokes_equations,o
301,3,negligible_runtime,o
302,21,neighborhood,o
303,3,nginx,o
304,7,novel_data_structure,o
305,3,novel_heuristic,o
306,6,np-completeness,o
307,9,object-oriented_database,data_structures
308,4,offerings,o
309,14,offline,o
310,6,omega,o
311,3,open-source_tool,o
312,7,openacc,computer_programming
313,188,operation,o
314,3,optimal_location,data_structures
315,17,optimization_technique,o
316,17,optimizes,o
317,6,orthogonal_range,o
318,16,overlap,o
319,3,pacific_ocean,o
320,54,package,o
321,8,pagerank,algorithm_design
322,4,pan-genome,o
323,8,parallel_computing_environment,distributed_computing
324,16,parallel_computing_technique,distributed_computing
325,8,parallel_efficiency,distributed_computing
326,43,parallel_implementation,distributed_computing
327,8,parallel_method,o
328,9,parallel_programming,computer_programming
329,6,parallel_speedup,computer_programming
330,4,parallelization_method,distributed_computing
331,3,parsing,o
332,16,partial_differential_equation,o
333,59,partitioning,o
334,4,path,o
335,8,pdes,o
336,4,peculiarities,o
337,4,peeling,data_structures
338,5,performance_advantage,o
339,4,performance_cluster,distributed_computing
340,5,performance_tests,o
341,6,photo,o
342,3,phylogenetics,o
343,4,physical_simulation,o
344,3,pixel_level,o
345,16,planar,o
346,5,planar_graphs,data_structures
347,3,plugins,software_engineering
348,3,pointer-based_data_structures,data_structures
349,8,poor_performance,o
350,3,popular_technique,o
351,19,porous_media,o
352,4,potential_use,o
353,3,pre-treatment,o
354,4,preconditioner,distributed_computing
355,3,preconditioners,o
356,3,pregel,o
357,4,prior_efforts,o
358,23,probe,o
359,4,process_monitoring,o
360,3,processes,o
361,17,processing_unit,distributed_computing
362,4,program_transformation,software_engineering
363,38,projection,o
364,158,property,o
365,1125,propose,o
366,4,proposed_method_yields,o
367,5,prototype_tool,o
368,19,pruning,o
369,4,python_programs,computer_programming
370,174,query,o
371,8,query_evaluation,data_structures
372,5,query_pattern,o
373,5,query_point,data_structures
374,18,query_processing,data_structures
375,3,query_throughput,o
376,31,query_time,data_structures
377,4,r-tree,data_structures
378,5,random_graph,o
379,4,range,o
380,12,range_queries,data_structures
381,5,ranking_function,data_structures
382,3,rapid_change,o
383,32,ray_tracing,computer_graphics
384,11,rdf_data,data_structures
385,19,real-world_data,data_structures
386,77,record,o
387,3,records,o
388,5,recursion_tree,o
389,22,recursive,o
390,4,red-black_tree,data_structures
391,3,reference_plane,o
392,5,refining,o
393,6,relational_database_system,data_structures
394,133,relationship,o
395,69,relies,o
396,4,remote_site,o
397,8,replacement,o
398,35,reporting,o
399,127,representation,o
400,4,representation_system,o
401,99,representing,o
402,201,respect,o
403,3,restart,o
404,4,rethinking,data_structures
405,4,retrieval_results,data_structures
406,42,return,o
407,4,rich_set,data_structures
408,14,routing_table,network_security
409,11,run-time,o
410,6,runtime_performance,o
411,3,sacrifice,o
412,3,scala,computer_programming
413,4,scalar_function,o
414,3,scaling_factor,o
415,3,search_performance,o
416,3,search_region,o
417,10,search_tree,algorithm_design
418,5,searching_algorithm,algorithm_design
419,51,semantic,o
420,4,semisupervised_learning,data_structures
421,39,sequential,o
422,7,significant_performance,o
423,3,significant_performance_gain,o
424,9,significant_performance_improvement,o
425,6,significant_speedup,o
426,7,simit,o
427,24,simplicity,o
428,3,single_computer,o
429,4,single_core,o
430,12,skip_list,data_structures
431,4,socket,o
432,23,software_package,software_engineering
433,4,solid_theoretical_foundation,o
434,4,solvent,o
435,4,space-filling_curve,o
436,5,space-time,o
437,7,space_data_structure,data_structures
438,12,spanning_tree,data_structures
439,3,sparsity,o
440,124,spatial,o
441,5,spatial_data_structure,data_structures
442,4,special_care,o
443,17,special_case,o
444,4,specific_data_structure,data_structures
445,10,specific_set,o
446,3,specific_technique,o
447,10,spectral_clustering,machine_learning
448,3,speculative_parallelization,distributed_computing
449,7,spline_interpolation,o
450,3,spreadsheets,data_structures
451,5,spss,o
452,8,sql_query,data_structures
453,8,sql_server,data_structures
454,9,ssds,data_structures
455,4,standard_technique,o
456,9,statistical_learning,machine_learning
457,13,step_size,algorithm_design
458,4,storage_requirement,o
459,181,strategy,o
460,49,stream,o
461,10,streaming_data,data_structures
462,5,street,o
463,3,string,o
464,4,strong_and_weak_scalability,o
465,8,structure_analysis,o
466,32,structured_data,data_structures
467,8,subdivision,o
468,5,subdomain,o
469,3,sublinear,o
470,5,subproblems,o
471,3,subsequent_query,data_structures
472,6,substring,o
473,6,succinct_data_structures,data_structures
474,7,suffix,o
475,3,suffix_array_construction_algorithm,algorithm_design
476,8,symbol,o
477,3,symmetric,o
478,3,synchronization,operating_systems
479,36,synthetic,o
480,6,synthetic_and_real_data,data_structures
481,12,synthetic_data,data_structures
482,7,synthetic_datasets,data_structures
483,4,target_application,o
484,8,techniques,o
485,40,temporal,o
486,12,temporal_scale,o
487,18,tens,o
488,8,tensor_decomposition,o
489,5,term_frequency,o
490,3,terms,o
491,21,terrain,o
492,8,theoretical_results,o
493,3,theta,o
494,5,thread-level_speculation,o
495,3,threading,distributed_computing
496,16,time_step,o
497,6,times_speedup,o
498,4,top-k_document_retrieval,data_structures
499,4,top-k_query,o
500,3,tractability,o
501,15,traditional_data,data_structures
502,6,traditional_database,data_structures
503,3,traditional_implementation,o
504,4,training_phase,o
505,3,trajectory,o
506,3,transmitted_data,data_structures
507,9,tree_data_structures,data_structures
508,3,tree_nodes,data_structures
509,12,tree_structure,data_structures
510,4,tree_traversal,data_structures
511,7,trie,o
512,24,tries,o
513,11,type_system,computer_programming
514,3,underlying_data_structures,data_structures
515,3,underlying_idea,o
516,5,uniform_distribution,o
517,6,unstructured_mesh,o
518,5,unsupervised_approach,machine_learning
519,5,unusual_features,o
520,90,update,o
521,3,update_rate,o
522,6,update_time,o
523,4,updates,o
524,24,updating,o
525,3,user_guide,o
526,5,vector_data,data_structures
527,55,vertex,o
528,37,vertical_bar,o
529,8,visual_data,computer_graphics
530,13,visual_features,computer_graphics
531,3,volume_hierarchies,data_structures
532,13,voronoi,o
533,6,voronoi_diagram,algorithm_design
534,3,wait-free_objects,operating_systems
535,5,wait-freedom,o
536,3,wavelet_transformation,o
537,4,weighted_graph,algorithm_design
538,3,widely_used_algorithm,o
539,5,wider_range,o
540,60,word,o
541,8,word_clouds,o
542,3,word_ram,data_structures
543,15,worst_case,o
544,10,xeon_phi,o
545,7,xml_data,data_structures
546,5,xpath,data_structures
547,3,3d_features,computer_graphics
548,7,3d_points,computer_graphics
549,3,abdomen,o
550,4,abstract_state_machine,o
551,3,abuse,cryptography
552,4,acceptable_results,o
553,29,access_control,distributed_computing
554,10,access_control_system,operating_systems
555,4,accommodation,o
556,11,accurate_result,o
557,7,achievable_secrecy_rate,o
558,9,acid,o
559,3,acknowledgement,o
560,3,acquisition,o
561,6,active_area,o
562,3,active_attacker,network_security
563,3,actual_needs,o
564,20,ad_hoc_network,network_security
565,3,adaptation_method,o
566,3,adapters,o
567,8,adaptive_beamforming,o
568,7,adaptive_threshold,o
569,59,adding,o
570,6,additional_comments,o
571,5,additive_white_gaussian_noise,computer_graphics
572,4,adjacency,o
573,4,adjacency_matrix,data_structures
574,3,administrative_domain,o
575,10,admm,algorithm_design
576,8,advances,o
577,39,adversary,o
578,12,aerospace,o
579,5,aes_algorithm,algorithm_design
580,3,affine_approximation_attack,cryptography
581,3,aforementioned_problem,o
582,3,albedo,o
583,21,algebraic,o
584,5,algebraic_attack,cryptography
585,3,algorithm_works,o
586,30,alice,o
587,10,alteration,o
588,13,alternative_approach,o
589,3,amazon,o
590,3,amino,o
591,3,amplify,o
592,3,analogue,o
593,3,analyses,o
594,4,analytic_function,o
595,5,analytical_expression,o
596,8,anchor,o
597,4,ancilla,o
598,4,anonymity,cryptography
599,4,anonymous,cryptography
600,5,ansi,o
601,3,antenna_selection,o
602,5,anti-virus_software,operating_systems
603,4,antiport_rules,distributed_computing
604,5,aodv,network_security
605,7,application_server,software_engineering
606,3,applications_tool,software_engineering
607,3,applied,o
608,6,approximate_computing,o
609,11,approximate_solution,o
610,8,approximation,o
611,40,arbitrary,o
612,3,arbitrary_order,o
613,3,archived_data,data_structures
614,16,arithmetic_operation,computer_programming
615,58,array,computer_programming
616,5,arrives,o
617,4,artist,o
618,9,asic,cryptography
619,4,asphalt,o
620,11,asphalt_mixture,computer_graphics
621,10,assistance,o
622,7,associate,o
623,3,assortment,o
624,54,assumption,o
625,6,assure,o
626,4,asymmetric_cryptography,cryptography
627,7,asymmetry,o
628,6,asynchronous_message-passing_system,operating_systems
629,5,asynchrony,o
630,4,atomic,o
631,5,atomic_register,operating_systems
632,6,atomicity,operating_systems
633,3,atrophy,o
634,3,attenuation,o
635,6,attractive_alternative,o
636,13,attribute_reduction,data_structures
637,18,audio,o
638,5,audio_file,o
639,14,auditing,o
640,3,auditor,o
641,12,authenticated_key_agreement,cryptography
642,16,authentication,cryptography
643,6,authentication_methods,cryptography
644,19,authentication_protocol,cryptography
645,25,authentication_scheme,cryptography
646,12,authenticity,cryptography
647,10,authorization,cryptography
648,8,autocorrelation,o
649,9,automated_tool,o
650,8,auxiliary_variable,o
651,7,avalanche,o
652,3,average_consensus_algorithm,o
653,3,average_speedup,o
654,7,average_time,o
655,4,avispa,network_security
656,3,awgn,computer_graphics
657,4,azimuthal,o
658,5,b-spline,o
659,4,background_noise,computer_graphics
660,3,backtracking,algorithm_design
661,3,baker,o
662,4,ban_logic,cryptography
663,5,bands,o
664,5,barycenter,o
665,3,based_regularization,o
666,10,based_technique,o
667,4,basic_algorithm,o
668,3,basic_characteristics,o
669,9,basic_idea,o
670,3,basic_property,o
671,15,battery,o
672,3,bb84,cryptography
673,4,bb84_protocol,cryptography
674,4,beam_rheometer,o
675,20,behalf,o
676,3,behavioral_patterns,o
677,16,belief,o
678,4,bell-state_measurement,cryptography
679,4,benchmark_function,o
680,3,bend,o
681,4,bent,o
682,4,bernoulli,o
683,10,bias,o
684,3,bidirectional_reflectance_distribution_function,computer_graphics
685,4,binary_coding,computer_programming
686,15,binary_image,computer_graphics
687,7,binary_sequences,cryptography
688,3,binary_tree_traversal,algorithm_design
689,3,bindings,o
690,10,bioinformatics,o
691,5,biomechanics,o
692,3,biomedical_mri,o
693,3,biometric,o
694,3,biometric_traits,o
695,3,biometrics,o
696,3,bit-string,o
697,9,bit_error_rate,o
698,3,bit_key_length,cryptography
699,11,bit_rate,o
700,4,black-box,o
701,3,blank,o
702,5,blind_signature,cryptography
703,10,block,data_structures
704,10,blue,o
705,8,blur,o
706,4,bogie,o
707,7,book,o
708,15,boolean,o
709,38,boolean_functions,computer_programming
710,63,bound,o
711,9,boundary_element,o
712,3,bounded_number,o
713,3,brain_tumors,o
714,6,branch,o
715,13,breaking,o
716,3,breakpoints,computer_programming
717,4,brevity,o
718,3,brief,o
719,3,brief_description,o
720,3,broad_class,o
721,11,broad_range,o
722,10,broadcast,o
723,6,broken_vertical_bar,o
724,6,brute-force,algorithm_design
725,11,brute_force,algorithm_design
726,21,building_block,o
727,4,bundle,o
728,4,business_services,o
729,3,butterfly,o
730,3,buyers,o
731,4,by-product,o
732,4,cache,operating_systems
733,15,caching,o
734,8,calcium,o
735,7,calibration,o
736,3,camera_shake,o
737,4,camera_view,o
738,3,canada,o
739,6,canonical_correlation_analysis,o
740,6,carrier,o
741,4,catalogue,o
742,5,categorical_data,o
743,3,causal_structures,data_structures
744,3,cbct,o
745,6,cbir,computer_graphics
746,6,ccd_camera,computer_graphics
747,5,cell_morphology,o
748,4,cellular_automata,o
749,13,cellular_automaton,o
750,6,cellular_networks,network_security
751,6,cent,o
752,6,central_role,o
753,3,centralized_algorithm,algorithm_design
754,4,certain_class,o
755,3,certain_key,o
756,9,certain_number,o
757,3,certain_threshold,o
758,4,certain_type,o
759,4,certain_value,o
760,3,certainty,o
761,3,certificate_revocation_lists,cryptography
762,4,certificateless,cryptography
763,4,certificates,cryptography
764,7,cervical_cell,o
765,3,cfrp,o
766,5,challenging_aspect,o
767,15,challenging_issue,o
768,28,challenging_problem,o
769,3,chamber,o
770,3,channel_attack,network_security
771,4,channel_noise,o
772,6,channel_state_information,o
773,19,chaos,o
774,3,chaos-based_cryptography,cryptography
775,10,chaotic_maps,cryptography
776,21,character,o
777,13,character_recognition,computer_graphics
778,5,character_segmentation,computer_graphics
779,3,chaum,o
780,8,chebyshev,o
781,3,checker,o
782,10,chen,o
783,4,chicken,o
784,3,chip,o
785,3,chosen_plaintext_attack,cryptography
786,64,cipher,cryptography
787,3,cipher-text,cryptography
788,9,ciphertext,cryptography
789,3,circle,o
790,5,circuit_design,operating_systems
791,3,cladding,o
792,16,classic,o
793,5,classical_channel,o
794,3,classification_framework,o
795,3,click,o
796,39,client,o
797,5,clinical_application,o
798,3,clinical_use,o
799,5,clinical_workflow,o
800,9,clock,o
801,4,clock_frequency,operating_systems
802,4,closed-loop,o
803,3,clothing,o
804,7,cloud_data,data_structures
805,12,cloud_server,distributed_computing
806,14,cloud_storage,data_structures
807,3,cloud_user,distributed_computing
808,3,clustered_data,machine_learning
809,6,clustering_coefficient,data_structures
810,8,clutter,o
811,14,cmos,o
812,3,coalition,o
813,39,code,computer_programming
814,5,codebook,cryptography
815,3,codeword,cryptography
816,91,coding,computer_programming
817,4,coefficient_matrix,o
818,5,coexistence,o
819,11,cognitive_radio,o
820,6,cognitive_radio_network,network_security
821,6,cognitive_system,o
822,6,coherent_state,o
823,3,cohort,o
824,3,collective-dephasing_noise,o
825,3,collective-rotation_noise,o
826,3,collider,o
827,4,collusion,o
828,3,collusion_attack,network_security
829,20,color_image,computer_graphics
830,3,color_image_encryption,cryptography
831,4,color_image_processing,computer_graphics
832,3,colorimetric,o
833,4,coloring_algorithm,algorithm_design
834,20,column,o
835,21,combinatorial,o
836,3,combinatorial_objects,cryptography
837,3,combiner,o
838,6,combustion,o
839,18,coming,o
840,6,commit,o
841,3,common_divisor,o
842,9,common_problem,o
843,5,common_task,o
844,12,communicating,o
845,11,communication_channel,o
846,22,communication_cost,o
847,5,communication_efficiency,o
848,3,communication_party,cryptography
849,4,communication_schemes,o
850,4,communications,o
851,5,compact_implementation,o
852,103,compared,o
853,3,compensation,o
854,5,complementarity,o
855,4,complementary_approach,o
856,4,complete_information,data_structures
857,7,complete_solution,o
858,18,completeness,o
859,3,complex_computations,distributed_computing
860,3,complex_experiments,o
861,3,complex_operation,o
862,5,complex_shape,computer_graphics
863,271,complexity,o
864,5,complication,o
865,7,composing,o
866,18,composite,o
867,8,compound,o
868,4,compressing,o
869,5,compression_method,data_structures
870,7,compression_technique,o
871,26,compressive_sensing,o
872,3,compromised_nodes,network_security
873,5,computation,o
874,5,computation_complexity,computer_programming
875,8,computation_cost,distributed_computing
876,8,computational_diffie-hellman,o
877,20,computational_model,distributed_computing
878,5,computational_neuroscience,machine_learning
879,10,computational_overhead,o
880,3,computational_physics,o
881,3,computational_process,o
882,6,compute,o
883,5,computer_simulation,o
884,7,concentrates,o
885,22,concrete,o
886,3,concrete_scheme,o
887,4,condenser,o
888,5,conditioning,o
889,4,conditions,o
890,5,confidence_score,o
891,4,conformal_geometric_algebra,o
892,7,conjecture,o
893,7,conquer,o
894,4,consecutive_frames,computer_graphics
895,3,considerable_improvement,o
896,7,considerable_research,o
897,3,consistency,o
898,38,constant,o
899,4,constrained_devices,o
900,5,constraints,o
901,7,constructive,o
902,3,constructive_method,o
903,18,consumes,o
904,5,contamination,o
905,3,content-based_image_retrieval,computer_graphics
906,3,continuation,o
907,3,continuous_map,o
908,4,continuum,o
909,5,contour_lines,computer_graphics
910,3,contrast,o
911,14,contrast_enhancement,o
912,8,control_parameters,o
913,6,controlled_quantum,cryptography
914,49,controlling,o
915,4,convergence_analysis,o
916,3,converter,o
917,22,cooperation,o
918,17,copy,o
919,161,copyright,o
920,3,core_aspect,o
921,3,core_idea,o
922,3,correct_operation,o
923,4,corresponding_algorithm,algorithm_design
924,5,corresponding_points,o
925,4,corruption,o
926,9,cost_model,o
927,6,coulomb,o
928,4,counter_mode,cryptography
929,8,counterpart,o
930,11,couple,o
931,7,cover_image,o
932,4,crack,o
933,7,credit,o
934,3,criminal_activity,o
935,7,critical_infrastructure,o
936,10,critical_issue,o
937,3,cropland,o
938,5,cross-correlation,o
939,3,crossbar,o
940,16,cryptanalysis,cryptography
941,18,cryptographic_algorithm,cryptography
942,5,cryptographic_application,cryptography
943,5,cryptographic_key,cryptography
944,3,cryptographic_module,cryptography
945,7,cryptographic_primitive,cryptography
946,6,cryptographic_properties,cryptography
947,7,cryptographic_protocol,cryptography
948,3,cryptographic_systems,cryptography
949,5,cryptographic_technique,cryptography
950,727,cryptography,cryptography
951,3,cryptography_algorithms,cryptography
952,10,cryptosystems,cryptography
953,7,csem,o
954,12,curvature,o
955,5,curve,o
956,3,customization,o
957,4,cybersecurity,network_security
958,23,cycle,o
959,9,damage_detection,o
960,3,darcy_flow,o
961,3,data-parallel_algorithm,distributed_computing
962,12,data_communication,distributed_computing
963,6,data_complexity,o
964,7,data_confidentiality,cryptography
965,6,data_dependencies,data_structures
966,8,data_hiding,cryptography
967,7,data_matrix,o
968,13,data_migration,data_structures
969,5,data_packets,network_security
970,5,data_protection,cryptography
971,5,data_redundancy,data_structures
972,17,data_sharing,data_structures
973,8,data_size,o
974,4,data_support,o
975,3,data_synchronization,data_structures
976,11,data_table,data_structures
977,16,data_transfer,distributed_computing
978,20,data_transmission,data_structures
979,14,data_volume,o
980,3,database_engine,data_structures
981,8,database_queries,data_structures
982,8,database_security,data_structures
983,7,database_server,data_structures
984,3,datacenter,o
985,34,date,o
986,14,dbms,data_structures
987,6,death,o
988,3,decidability,o
989,35,decoding,cryptography
990,6,decoding_algorithm,cryptography
991,4,decoding_problem,cryptography
992,4,decoherence,o
993,13,decoy_state,cryptography
994,31,decryption,cryptography
995,3,deduction,o
996,5,deep_learning_algorithm,machine_learning
997,3,deep_understanding,o
998,15,degrade,o
999,3,degree_distribution,o
1000,3,delayed_measurement_technique,o
1001,3,delegation,o
1002,3,delegator,cryptography
1003,4,deleting,o
1004,5,delta_log,o
1005,3,dems,computer_graphics
1006,17,denoising,data_structures
1007,10,denotes,o
1008,4,density_field,o
1009,3,depiction,o
1010,5,depth_data,computer_graphics
1011,10,depth_map,computer_graphics
1012,6,design_approach,o
1013,4,design_goal,o
1014,4,design_time,o
1015,3,desired_feature,o
1016,3,desired_level,o
1017,5,desired_properties,o
1018,5,detail_information,o
1019,3,detailed_performance_analysis,o
1020,4,details,o
1021,11,deterministic_algorithm,algorithm_design
1022,4,developed_application,software_engineering
1023,6,dialogue,o
1024,6,dibr,computer_graphics
1025,6,dicom,computer_graphics
1026,5,difference,o
1027,6,difference_family,o
1028,32,differential,o
1029,7,differential_cryptanalysis,cryptography
1030,3,differential_power_analysis,cryptography
1031,4,differential_privacy,cryptography
1032,9,diffie-hellman,cryptography
1033,7,diffuse,o
1034,3,diffusion,o
1035,23,digital,o
1036,8,digital_elevation,computer_graphics
1037,10,digital_image_processing,computer_graphics
1038,3,digital_search_tree,data_structures
1039,4,digital_system,o
1040,4,digital_topology,o
1041,8,digital_watermarking,cryptography
1042,4,direct_implementation,o
1043,3,direct_link,o
1044,4,direction_cosine_matrix,o
1045,6,disc,o
1046,6,disclosure,o
1047,3,discontinuous_galerkin,o
1048,8,discovers,o
1049,5,discrete_cosine,o
1050,6,discrete_cosine_transform,computer_graphics
1051,5,discrete_geodesic,o
1052,15,discrete_logarithm,cryptography
1053,3,discrete_optimization,o
1054,3,discrete_system,o
1055,4,discrete_variables,o
1056,10,discretization,o
1057,6,discrimination,o
1058,3,disease,o
1059,8,disjoint,o
1060,5,distinct_feature,o
1061,4,distorted_image,computer_graphics
1062,20,distortion,o
1063,7,distributed_approach,o
1064,6,distributed_information,o
1065,7,distributed_networks,distributed_computing
1066,3,distributed_nodes,distributed_computing
1067,6,distributed_optimization,o
1068,6,distributed_sensor,o
1069,4,distributed_storage_system,data_structures
1070,4,distribution_parameter,o
1071,19,disturbance,o
1072,4,diversification,o
1073,3,divide_and_conquer_approach,algorithm_design
1074,13,dividing,o
